province	city	school_url/0	school_grades	school_board	school_language	response_url	school_name/0	school_type	postal_code	phone_number/0	street_address/0
Québec	Saint-Rémi Québec	http://pierre-bedard.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Pierre-Bédard		J0L 2L0	: 514 380-8899, poste 4651	24, rue Saint-Sauveur
Québec	Candiac Québec	http://plein-soleil.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Plein-Soleil		J5R 0G6	: 514 380-8899, poste 4151	50, rue de Toulouse
Québec	Saint-Bernard-de-Lacolle Québec	http://st-bernard.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Bernard		J0J 1V0	: 514 380-8899, poste 4791	135, rang Saint-Claude
Québec	Saint-Édouard Québec	http://stedouard.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Edouard		J0L 1Y0	: 514 380-8899, poste 4711	70, rue de l’École
Québec	La Prairie Québec	http://sfx.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-François-Xavier		J5R 1V1	: 514 380-8899, poste 4051	500, boul. Taschereau
Québec	Saint-Isidore Québec	http://st-isidore.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Isidore-Langevin – Édifice Langevin		J0L 2A0	: 514 380-8899, poste 4601	652, rue Saint-Régis
Québec	Saint-Isidore Québec	http://st-isidore.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Isidore-Langevin – Édifice Saint-Isidore		J0L 2A0	: 514 380-8899, poste 4601	641, rue Saint-Régis
Québec	Sainte-Catherine Québec	http://stjean.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Jean		J5C 1K1	: 514 380-8899, poste 4251	1405, rue de l’École
Québec	Châteauguay Québec	http://sjb.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Jean-Baptiste		J6K 1H6	: 514 380-8899, poste 4401	14, rue Rainville
Québec	Mercier Québec	http://stjoseph.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Joseph (Mercier)		J6R 2K8	: 514 380-8899, poste 4541	13, rue de l’Église
Québec	Châteauguay Québec	http://stjude.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Jude		J6K 1N1	: 514 380-8899, poste 4471	71, rue Alphonse-Desjardins
Québec	Candiac Québec	http://stmarc.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Marc		J5R 1R8	: 514 380-8899, poste 4141	30, chemin Haendel
Québec	Saint-Michel Québec	http://stmichel.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Michel-Archange		J0L 2J0	: 514 380-8899, poste 4721	430, place Saint-Michel
Québec	Saint-Patrice-de-Sherrington Québec	http://st-patrice.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Patrice		J0L 2N0	: 514 380-8899, poste 4751	227, rue Saint-Patrice
Québec	Mercier Québec	http://strene.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-René		J6R 2K9	: 514 380-8899, poste 4561	14, rue Vervais
Québec	Hemmingford Québec	http://st-romain.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Romain		J0L 1H0	: 514 380-8899, poste 4801	557, rue Frontière
Québec	Saint-Rémi Québec	http://st-viateur.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Viateur-Clotilde-Raymond – Édifice Clotilde-Raymond		J0L 2L0	: 514 380-8899, poste 4641	95, rue Saint-André
Québec	Saint-Rémi Québec	http://st-viateur.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Saint-Viateur-Clotilde-Raymond – Édifice Saint-Viateur		J0L 2L0	: 514 380-8899, poste 4631	60, rue Saint-Viateur
Québec	Sainte-Clotilde Québec	http://ste-clotilde.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Sainte-Clotilde		J0L 1W0	: 514 380-8899, poste 4731	2459, chemin de l’Église
Québec	Saint-Constant Québec	http://vinet-souligny.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Vinet-Souligny		J5A 1Y3	: 514 380-8899, poste 4291	13, montée Saint-Régis
