province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Québec	Mirabel	http://www.csrdn.qc.ca/template.asp?id=288	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	aux Quatre-Vents	Préscolaire / primaire	rue Therrien	450569-2239	13 815  rue Therrien
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=138	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	Bellefeuille	Préscolaire / primaire	des Lacs	450438-9525	997  rue des Lacs
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=336	Secondaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=85	Saint-Stanislas	Secondaire	9e Rue	450436-6100	680  9e Rue
Québec	Brownsburg-Chatham	http://www.csrdn.qc.ca/template.asp?id=332	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	Bouchard	Préscolaire / primaire	de l’Église	450566-3126	294  rue de l’Église
Québec	Grenville	http://www.csrdn.qc.ca/template.asp?id=334	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	Dansereau/Saint-Martin	Préscolaire / primaire	rue Principale	450566-3103	316  rue Principale
Québec	Mirabel	http://www.csrdn.qc.ca/template.asp?id=314	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	de la Croisée-des-Champs	Préscolaire / primaire	rue Lacroix	450569-2099	13705  rue Lacroix
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=278	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	De La Durantaye	Préscolaire / primaire	rue Paul	450432-9582	31  rue Paul
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=310	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	de la Source	Préscolaire / primaire	la Salette	450431-0816	520  boulevard de la Salette
Québec	Saint-Colomban	http://www.csrdn.qc.ca/template.asp?id=318	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	de la Volière	Préscolaire / primaire	chemin Rivière-du-Nord	450569-3307	549  chemin Rivière-du-Nord
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=304	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	de l'Envolée	Préscolaire / primaire	rue Normand	450431-4377	1475  rue Normand
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=284	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	de l'Horizon-Soleil	Préscolaire / primaire	du Parc	450438-1296	1155  avenue du Parc
